Hora,Packet loss (%),Round trip (ms)
2011-03-26T09:08:20+00:00,0.0,60.526
2011-03-26T09:09:25+00:00,0.0,60.808
2011-03-26T09:10:21+00:00,0.0,60.559
2011-03-26T09:11:24+00:00,0.0,61.188
2011-03-26T09:12:20+00:00,0.0,60.904
2011-03-26T09:13:20+00:00,0.0,62.242
2011-03-26T09:14:24+00:00,0.0,64.919
2011-03-26T09:15:25+00:00,0.0,69.799
2011-03-26T09:16:20+00:00,0.0,62.521
2011-03-26T09:17:20+00:00,0.0,61.14
2011-03-26T09:18:24+00:00,0.0,65.194
2011-03-26T09:19:29+00:00,0.0,103.653
2011-03-26T09:20:37+00:00,0.0,87.428
2011-03-26T09:21:20+00:00,0.0,61.028
2011-03-26T09:22:22+00:00,10.0,88.914
2011-03-26T09:23:20+00:00,0.0,61.411
2011-03-26T09:24:19+00:00,0.0,60.79
2011-03-26T09:25:20+00:00,0.0,60.538
2011-03-26T09:26:20+00:00,0.0,60.424
2011-03-26T09:27:20+00:00,0.0,60.459
2011-03-26T09:28:20+00:00,0.0,61.298
2011-03-26T09:29:20+00:00,0.0,60.6
2011-03-26T09:31:21+00:00,100.0,0
2011-03-26T09:32:21+00:00,100.0,0
2011-03-26T09:33:21+00:00,100.0,0
2011-03-26T09:34:21+00:00,100.0,0
2011-03-26T09:35:22+00:00,100.0,0
2011-03-26T09:36:22+00:00,100.0,0
2011-03-26T09:37:21+00:00,100.0,0
2011-03-26T09:38:21+00:00,100.0,0
2011-03-26T09:39:21+00:00,100.0,0
2011-03-26T09:40:21+00:00,100.0,0
2011-03-26T09:41:22+00:00,100.0,0
2011-03-26T09:42:21+00:00,100.0,0
2011-03-26T09:43:21+00:00,100.0,0
2011-03-26T09:44:21+00:00,100.0,0
2011-03-26T09:45:21+00:00,100.0,0
2011-03-26T09:46:22+00:00,100.0,0
2011-03-26T09:47:22+00:00,100.0,0
2011-03-26T09:48:21+00:00,100.0,0
2011-03-26T09:49:21+00:00,100.0,0
2011-03-26T09:50:21+00:00,100.0,0
2011-03-26T09:51:21+00:00,100.0,0
2011-03-26T09:52:22+00:00,100.0,0
2011-03-26T09:53:21+00:00,100.0,0
2011-03-26T09:54:21+00:00,100.0,0
2011-03-26T09:55:21+00:00,100.0,0
2011-03-26T09:56:21+00:00,100.0,0
2011-03-26T09:57:22+00:00,100.0,0
2011-03-26T09:58:22+00:00,100.0,0
2011-03-26T09:59:21+00:00,100.0,0
2011-03-26T10:00:21+00:00,100.0,0
2011-03-26T10:01:21+00:00,100.0,0
2011-03-26T10:02:21+00:00,100.0,0
2011-03-26T10:03:22+00:00,100.0,0
2011-03-26T10:04:21+00:00,100.0,0
2011-03-26T10:05:21+00:00,100.0,0
2011-03-26T10:06:21+00:00,100.0,0
2011-03-26T10:07:21+00:00,100.0,0
2011-03-26T10:08:22+00:00,100.0,0
2011-03-26T10:09:22+00:00,100.0,0
2011-03-26T10:10:21+00:00,100.0,0
2011-03-26T10:11:21+00:00,100.0,0
2011-03-26T10:12:21+00:00,100.0,0
2011-03-26T10:13:21+00:00,100.0,0
2011-03-26T10:14:22+00:00,100.0,0
2011-03-26T10:15:21+00:00,100.0,0
2011-03-26T10:16:21+00:00,100.0,0
2011-03-26T10:17:21+00:00,100.0,0
2011-03-26T10:18:21+00:00,100.0,0
2011-03-26T10:19:22+00:00,100.0,0
2011-03-26T10:20:22+00:00,100.0,0
2011-03-26T10:21:21+00:00,100.0,0
2011-03-26T10:22:21+00:00,100.0,0
2011-03-26T10:23:21+00:00,100.0,0
2011-03-26T10:24:21+00:00,100.0,0
2011-03-26T10:25:22+00:00,100.0,0
2011-03-26T10:26:21+00:00,100.0,0
2011-03-26T10:27:21+00:00,100.0,0
2011-03-26T10:28:21+00:00,100.0,0
2011-03-26T10:29:21+00:00,100.0,0
